f1,f2,class
-1.358311,0.074376,0
-1.934144,-0.779226,0
-1.319816,1.734053,0
-2.743183,1.626929,0
-0.729512,2.774922,0
-1.589434,1.382769,0
4.430899,2.055968,0
-1.881638,0.502106,0
-0.158831,1.179034,0
1.990633,1.549793,0
-0.609755,0.645474,0
3.951497,-0.147949,0
-1.220384,0.67432,0
-1.023837,-1.675073,0
0.349928,-0.794499,0
1.414427,-2.808,0
0.779313,-1.841647,0
-1.612886,0.616446,0
-2.401574,2.505981,0
-3.6947,0.52637,0
1.644349,1.791449,0
-2.182001,0.62106,0
-1.933958,1.128939,0
-0.790516,0.178332,0
-1.941273,0.825798,0
0.859905,-5.845321,0
-1.467535,-0.187934,0
-4.378121,1.936766,0
1.315771,-6.269409,0
-1.25697,0.608233,0
-2.466673,-0.938456,0
-0.207555,0.936721,0
-1.329218,0.66283,0
3.189759,1.763184,0
0.00019,0.893106,0
5.087219,0.646089,0
-1.589855,-1.158275,0
0.90276,-1.814096,0
-0.260754,-1.079233,0
-1.165777,-0.189604,0
-1.223355,1.106251,0
-2.157172,-1.52704,0
-0.996199,-0.050961,0
4.452244,-0.273299,0
-0.417667,-0.766208,0
-3.448321,0.592714,0
-0.179702,0.580293,0
0.334371,-1.193068,0
-1.076034,1.850117,0
4.741953,1.957313,0
-2.431603,-0.80558,0
6.151644,1.409957,0
-0.155489,0.991901,0
4.329844,0.065124,0
0.59397,3.201287,0
-3.148929,3.212589,0
-1.174433,1.175279,0
-1.519483,-0.124995,0
-3.425903,2.117915,0
-1.231861,-1.427522,0
-3.445334,3.079794,0
1.538011,-5.693545,0
5.299461,0.424864,0
0.2281,1.618301,0
-2.726759,0.88592,0
-0.804571,1.702659,0
-1.385163,1.427675,0
0.443673,0.554089,0
-0.980993,1.279318,0
-0.292435,0.834873,0
-0.254337,0.358511,0
-1.112966,1.03331,0
-2.386264,3.266478,0
-3.61014,1.654365,0
-1.703831,1.857321,0
-1.999339,1.706182,0
-2.978448,0.209612,0
1.926986,-0.371465,0
0.283283,1.176858,0
-0.932926,1.861725,0
-1.899185,-2.061153,0
0.496389,-0.852462,0
3.634932,-2.17393,0
1.441368,-1.202782,0
1.477495,-1.63829,0
-1.308005,1.596486,0
-1.8055,2.800334,0
-2.276101,0.634556,0
-1.275966,1.405513,0
-1.358311,0.074376,1
-1.934144,-0.779226,1
-1.319816,1.734053,1
-2.743183,1.626929,1
-0.729512,2.774922,1
-1.589434,1.382769,1
4.430899,2.055968,1
-1.881638,0.502106,1
-0.158831,1.179034,1
1.990633,1.549793,1
-0.609755,0.645474,1
3.951497,-0.147949,1
-1.220384,0.67432,1
-1.023837,-1.675073,1
0.349928,-0.794499,1
